Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1035736,-,-,-,42.97,-81.26,-5,252,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,
2015,1,1,0,30,-8.4,1.09,0.047,0.61,0,0,0,0,1,-12.9,0,0,0,0,0.372,69.8,160.05,0.93,0.15,986,0.3,249,8,,,,,,,,,,,,,,,,,,
2015,1,1,1,30,-8.1,1.05,0.049,0.61,0,0,0,0,4,-12.4,0,0,0,0,0.364,71.34,156.32,0.93,0.15,986,0.4,250,7.7,,,,,,,,,,,,,,,,,,
2015,1,1,2,30,-7.8,1.04,0.047,0.61,0,0,0,0,4,-11.8,0,0,0,0,0.356,73.18,147.92,0.94,0.15,986,0.4,249,7.2,,,,,,,,,,,,,,,,,,
2015,1,1,3,30,-7.5,1.04,0.049,0.61,0,0,0,0,7,-11.2,0,0,0,0,0.349,74.63,137.68,0.94,0.15,985,0.4,245,6.9,,,,,,,,,,,,,,,,,,
2015,1,1,4,30,-7.2,1.05,0.057,0.61,0,0,0,0,4,-10.8,0,0,0,0,0.342,75.18,126.81,0.95,0.15,985,0.4,241,7.3,,,,,,,,,,,,,,,,,,
2015,1,1,5,30,-7.1,1.05,0.06,0.61,0,0,0,0,7,-10.8,0,0,0,0,0.335,74.75,115.87,0.95,0.15,984,0.4,238,7.9,,,,,,,,,,,,,,,,,,
2015,1,1,6,30,-7.1,1.06,0.056,0.61,0,0,0,0,7,-10.9,0,0,0,0,0.329,74.31,105.18,0.95,0.15,984,0.4,237,8.3,,,,,,,,,,,,,,,,,,
2015,1,1,7,30,-7,1.08,0.054,0.61,0,0,0,0,7,-10.9,0,0,0,0,0.323,73.52,95.03,0.95,0.15,984,0.4,236,8.5,,,,,,,,,,,,,,,,,,
2015,1,1,8,30,-6.9,1.1,0.052,0.61,27,390,58,7,7,-11,23,0,7,23,0.315,72.54,85.55,0.95,0.15,984,0.4,236,8.8,,,,,,,,,,,,,,,,,,
2015,1,1,9,30,-6.7,1.1,0.047,0.61,50,685,197,0,7,-11.1,30,0,0,30,0.31,70.86,77.62,0.95,0.15,984,0.5,238,9.2,,,,,,,,,,,,,,,,,,
2015,1,1,10,30,-6.3,1.13,0.047,0.61,62,798,317,0,7,-11.2,163,212,0,231,0.305,68.18,71.33,0.95,0.15,983,0.6,241,9.3,,,,,,,,,,,,,,,,,,
2015,1,1,11,30,-5.8,1.18,0.046,0.61,67,848,394,0,4,-11.2,215,31,0,227,0.301,65.77,67.28,0.94,0.15,983,0.7,244,9.2,,,,,,,,,,,,,,,,,,
