Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.2,9,1011,94,300,2.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.2,8.9,1011,95,300,2.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.2,8.9,1011,95,300,2.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.1,8.9,1012,94,290,2.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8,8.9,1012,94,290,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8,8.9,1012,94,290,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.1,8.9,1012,94,300,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.4,9,1012,96,300,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.9,9.4,1013,96,310,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.4,10,1013,96,320,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.7,11.1,1013,91,320,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.9,12.1,1013,86,330,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.8,12.9,1013,81,340,3.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.5,13.7,1013,76,340,3.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.1,14.3,1012,71,350,3.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.9,14.6,1012,68,360,3.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.9,14.4,1012,70,360,3.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,8.9,13.9,1012,72,360,3.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9,13.2,1012,76,360,3.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.2,12.2,1012,82,10,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.4,11.3,1012,88,10,2.6
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.3,10.6,1013,91,20,2.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9.2,10,1013,94,20,2.1
TMY3,724937,PALO ALTO,CA,USA,37.47,-122.12,-8,1,Etc/GMT+8,9,9.4,1013,97,20,2.1
# ... (file is truncated for brevity, but contains 8760 rows of data)
