Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1036237,-,-,-,43.01,-81.26,0,248,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2016,1,1,0,30,-3,0,0,0,0.87,990,-1,253,4.3
2016,1,1,1,30,-3,0,0,0,0.87,990,-1,251,4.800000000000001
2016,1,1,2,30,-3,0,0,0,0.87,990,-1,253,5.300000000000001
2016,1,1,3,30,-3,0,0,0,0.87,990,-1,255,5.5
2016,1,1,4,30,-3,0,0,0,0.87,990,-2,258,5.5
2016,1,1,5,30,-4,0,0,0,0.87,980,-2,259,5.5
2016,1,1,6,30,-4,0,0,0,0.87,980,-2,259,5.5
2016,1,1,7,30,-4,0,0,0,0.87,980,-2,260,5.5
2016,1,1,8,30,-5,0,0,0,0.87,980,-2,260,5.5
2016,1,1,9,30,-5,0,0,0,0.87,980,-3,259,5.6000000000000005
2016,1,1,10,30,-5,0,0,0,0.87,980,-3,256,5.9
2016,1,1,11,30,-6,0,0,0,0.87,980,-3,254,6.300000000000001
2016,1,1,12,30,-6,0,0,0,0.87,980,-3,254,6.6000000000000005
2016,1,1,13,30,-6,16,0,16,0.87,980,-2,257,7.2
2016,1,1,14,30,-7,62,0,62,0.87,980,-2,261,7.9
2016,1,1,15,30,-7,102,0,102,0.87,980,-2,264,8.1
2016,1,1,16,30,-7,112,0,112,0.87,980,-2,267,8.1
2016,1,1,17,30,-7,118,0,118,0.87,980,-2,268,8
2016,1,1,18,30,-7,113,0,113,0.87,980,-2,268,7.6000000000000005
2016,1,1,19,30,-7,88,0,88,0.87,980,-2,268,7.2
2016,1,1,20,30,-7,52,0,52,0.87,980,-2,269,6.7
2016,1,1,21,30,-7,12,0,12,0.87,980,-3,271,6.1000000000000005
2016,1,1,22,30,-7,0,0,0,0.87,980,-3,272,5.7
